Purpose,"This file documents the filenames for ASIST Study 3, and inventories the files and quality control issues.",,,,,,,,,,,,,,,,,,,
Author,Jared Freeman and the ASU team,,,,,,,,,,,,,,,,,,,
Use,TA3 revises and publishes this document as a csv when new data are transferred to the ASIST data repository.,,,,,,,,,,,,,,,,,,,
,TA1 & TA2 performers should use this worksheet to assess the state of data in the ASIST repository and to interpret file names.,,,,,,,,,,,,,,,,,,,
References,The master version of this document is here: https://docs.google.com/spreadsheets/d/1PTPVqQ6JUC9IcgSB6dF9tTPIiYukVmkP237MBNyJDBo/edit#gid=1324771064,,,,,,,,,,,,,,,,,,,
,Data described below are available on GCS here: https://console.cloud.google.com/storage/browser/studies.aptima.com/study-3_2022,,,,,,,,,,,,,,,,,,,
,The study to which these files pertain is documented here: https://docs.google.com/document/d/1GF7VsNF9R95IAaj6mVZUDV2mAX5ok1Bh6Tcm8zDpIkg/edit#heading=h.gjdgxs,,,,,,,,,,,,,,,,,,,
,The researchers' laboratory notebook (available only to TA3): https://docs.google.com/document/d/1KMxxbdkZbCTmJwkK9wfsDyyruU1MPrB1Evvl11AhXwg/edit#heading=h.v16ui0ddz6nv,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date Posted,Performer (Author),Valid,Condition ID,Agent Name,Team ID (significant issue in paranthese),Trial ID,Trial ID,Callsigns & Participant ID (UID),Map Order,Experiment Date,Experimenters,Notes,,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000220,T000639,T000640,"E000706, E000668, E000710 (same role order as above)",C-D,4/25/22,JC/XY,"Used server 2. server one was unable to start the training trail at first. Medic requested to change controls for their Minecraft settings. Adviser lost connection to clientmap and Minecraft during the beginning of M2. Admin lost connection to the server for the 30s in mission two (when 4 mins was left in the mission). Game resumed without restarting the trial. In Mission 2, human advisor did not have a view of the client map's player locations, and only gave two advice during the mission.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000221,T000641,T000642,"E000694, E000684, E000717",C-D,4/26/2022,AT/AC,"Used Server 1. Advisor had audio issues initially, but the issue was resolved. Advisor reported client map didnt update before mission 1. No issues in M1. In M2, Medic was unable to see the unique information on his client map. We restarted M2 three times in total and could not fix the issue, so in the last one, we just let Medic see the Mission Brief slide info during the initial two minutes of the mission so he can participate in the discussion. The first try of M2 was ended 2 minutes into the mission, and the second try was ended with about 1:20 into the mission, both were attempted to fix the puzzle information and they did not discuss during these two cases.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000222,T000643,T000644,"E000720, E000722, E000727",C-D,4/26/22,MC/XY,Used Server 1. Engineer had minor audio issues during the training mission. The team realized that threat rooms can be blocked again only during M1.,,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000223,T000645,T000646,"E000612, E000740, E000743",C-D,4/27/2022,AT/AC,"Used Server 1. During the training video, audio can be heard - as such, participants muted their mics. However, the transporter had issues unmuting himself, so he left and rejoined the meeting. Participants put the puzzle information in the minecraft chat - not sure if thats allowed, but experimenters did not interfere. After the instructional part of training mission during group training, AC had to step away and the birds eye view had the menu message on it between 45:17- 47:07. Blue's wav file from Training trial is missing.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000225,T000649,T000650,"E000707, E000725, E000734",C-D,4/28/2022,MC/MW,"Server 1. Engineer got disconnected from Parsec at around 9:20 time remaining in Mission 1. Tried reconnecting and had the mouse issue several times before being resolved at around 6:55. Because of this, the engineer's obs video for M1 after the disconnection was lost. The Engineer's video recording was resumed for M2 and both parts have been uploaded.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000226,T000651,T000652,"E000726, E000735, E000731",C-D,4/29/2022,AT/MW,"Server 2. During the start of M1, the transporter's zoom crashed and he rejoined the meeting. Recording paused as his name is revealed. M1 restarted. This happened after M1 had started. It was restarted just before participants were released into the building. Participants were exposed to two 2min planning phases for M1. All data related to Mission 1 has the prefix of Terminated_; Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000226_Member-E000726_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.wav;  Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000226_Member-E000731_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.wav; Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000226_Member-E000735_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.wav; Terminated_HSRData_OBVideo_Trial-na_Team-TM000226_Member-HumanAdvisor_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.mp4; Terminated_HSRData_TrialMessages_Trial-T000651_Team-TM000226_Member-na_CondBtwn-ASI-Human-01_CondWin-na_Vers-1",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000227,T000653,T000654,"E000738, E000730, E000737",C-D,5/2/2022,JC/XY,"Server 1. The testbed had to be restarted before the hands on trainng mission because participants' information isn't typed in correctly in malmo cntrol on the first try of training mission. Becasue of this, the first training metdata file may or may not contain the training knowledge survevy info and is named as Terminated_, as well as all related individual audio files. ACs that use the training knowledge survey may not be able to do that using the second training files in this team.  Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000227_Member-E000730_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.wav; Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000227_Member-E000737_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.wav; Terminated_HSRData_ClientAudio_Trial-Training_Team-TM000227_Member-E000738_CondBtwn-ASI-Human-01_CondWin-na_Vers-1; Terminated_HSRData_TrialMessages_Trial-Training_Team-TM000227_Member-na_CondBtwn-ASI-Human-01_CondWin-na_Vers-1.metadata",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000228,T000655,T000656,"E000709, E000714, E000652",C-D,5/2/2022,JC/AC,"Server 1. Engineer was having audio trouble hearing Zoom once connected with Google Meet, however the situation was resolved with using the volume mixer. Transporter's video turned on 30 mins in the preparation phase when logining into Parsac computers (lasted for 5 secs). Medic lost internet connect while watching the training video. Transporter was not able to use mouse when the OBS video recording starts, but this was fixed when they started the recording themself. Transporter's client map information did not appear in M1 even after restarting about 30 seconds into the mission. The solution to this was to allow them to look at the information through the mission brief slides for the first two minutes of the mission and then switch them over to Minecraft. Medic's training wav file is missing.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000229,T000657,T000658,"E000691, E000751, E000754",C-D,5/3/2022,JC/AC,"Server 1. Medic has some trouble with the training video audio, however it was an error on their end and it was fixed. Medic and Transporter Training .wav files are missing. Medic's M1 .wav file shows up, but seems to be an empty file.",,,,,,,,
5/18/2022,TA3,Yes,2,Human Advisor,TM000231,T000661,T000662,"E000757, E000760, E000764",C-D,5/4/2022,JC/MW,"Server 2. No issues. Audio file for Medic in mission 1 did not show up in WinSCP, , so Medic's individual audio is not transcribed by ASR in Mission 1.",,,,,,,,
